-69490.7;104.586;-1;
-69227.3;104.388;-1;
-68964.5;104.189;-1;
-68702.1;103.991;-1;
-68440.3;103.793;-1;
-68178.9;103.594;-1;
-67918;103.396;-1;
-67657.7;103.197;-1;
-67397.8;102.999;-1;
-67138.5;102.801;-1;
-66879.6;102.602;-1;
-66621.2;102.404;-1;
-66363.4;102.206;-1;
-66106;102.007;-1;
-65849.2;101.809;-1;
-65592.8;101.61;-1;
-65336.9;101.412;-1;
-65081.6;101.214;-1;
-64826.7;101.015;-1;
-64572.4;100.817;-1;
-64318.5;100.619;-1;
-64065.1;100.42;-1;
-63812.3;100.222;-1;
-63559.9;100.023;-1;
-63308;99.8251;-1;
-63056.7;99.6267;-1;
-62805.8;99.4283;-1;
-62555.5;99.23;-1;
-62305.6;99.0316;-1;
-62056.2;98.8332;-1;
-61807.4;98.6349;-1;
-61559;98.4365;-1;
-61311.2;98.2381;-1;
-61063.8;98.0397;-1;
-60816.9;97.8414;-1;
-60570.6;97.643;-1;
-60324.7;97.4446;-1;
-60079.4;97.2463;-1;
-59834.5;97.0479;-1;
-59590.1;96.8495;-1;
-59346.3;96.6511;-1;
-59102.9;96.4528;-1;
-58860;96.2544;-1;
-58617.7;96.056;-1;
-58375.8;95.8577;-1;
-58134.5;95.6593;-1;
-57893.6;95.4609;-1;
-57653.2;95.2625;-1;
-57413.4;95.0642;-1;
-57174;94.8658;-1;
-56935.2;94.6674;-1;
-56696.8;94.4691;-1;
-56458.9;94.2707;-1;
-56221.6;94.0723;-1;
-55984.7;93.8739;-1;
-55748.4;93.6756;-1;
-55512.5;93.4772;-1;
-55277.1;93.2788;-1;
-55042.3;93.0804;-1;
-54807.9;92.8821;-1;
-54574.1;92.6837;-1;
-54340.7;92.4853;-1;
-54107.8;92.287;-1;
-53875.5;92.0886;-1;
-53643.6;91.8902;-1;
-53412.2;91.6918;-1;
-53181.4;91.4935;-1;
-52951;91.2951;-1;
-52721.2;91.0967;-1;
-52491.8;90.8984;-1;
-52262.9;90.7;-1;
-52034.6;90.5016;-1;
-51806.7;90.3032;-1;
-51579.4;90.1049;-1;
-51352.5;89.9065;-1;
-51126.1;89.7081;-1;
-50900.3;89.5098;-1;
-50674.9;89.3114;-1;
-50450.1;89.113;-1;
-50225.7;88.9146;-1;
-50001.8;88.7163;-1;
-49778.5;88.5179;-1;
-49555.6;88.3195;-1;
-49333.3;88.1211;-1;
-49111.4;87.9228;-1;
-48890;87.7244;-1;
-48669.2;87.526;-1;
-48448.8;87.3277;-1;
-48228.9;87.1293;-1;
-48009.6;86.9309;-1;
-47790.7;86.7325;-1;
-47572.4;86.5342;-1;
-47354.5;86.3358;-1;
-47137.1;86.1374;-1;
-46920.3;85.9391;-1;
-46703.9;85.7407;-1;
-46488.1;85.5423;-1;
-46272.7;85.3439;-1;
-46057.8;85.1456;-1;
-45843.5;84.9472;-1;
-45629.6;84.7488;-1;
-45416.3;84.5505;-1;
-45203.4;84.3521;-1;
-44991;84.1537;-1;
-44779.2;83.9553;-1;
-44567.8;83.757;-1;
-44357;83.5586;-1;
-44146.6;83.3602;-1;
-43936.7;83.1618;-1;
-43727.4;82.9635;-1;
-43518.5;82.7651;-1;
-43310.1;82.5667;-1;
-43102.3;82.3684;-1;
-42894.9;82.17;-1;
-42688.1;81.9716;-1;
-42481.7;81.7732;-1;
-42275.8;81.5749;-1;
-42070.5;81.3765;-1;
-41865.6;81.1781;-1;
-41661.3;80.9798;-1;
-41457.4;80.7814;-1;
-41254;80.583;-1;
-41051.2;80.3846;-1;
-40848.8;80.1863;-1;
-40647;79.9879;-1;
-40445.6;79.7895;-1;
-40244.7;79.5912;-1;
-40044.4;79.3928;-1;
-39844.5;79.1944;-1;
-39645.2;78.996;-1;
-39446.3;78.7977;-1;
-39247.9;78.5993;-1;
-39050.1;78.4009;-1;
-38852.7;78.2025;-1;
-38655.8;78.0042;-1;
-38459.5;77.8058;-1;
-38263.6;77.6074;-1;
-38068.3;77.4091;-1;
-37873.4;77.2107;-1;
-37679;77.0123;-1;
-37485.2;76.8139;-1;
-37291.8;76.6156;-1;
-37099;76.4172;-1;
-36906.6;76.2188;-1;
-36714.7;76.0205;-1;
-36523.4;75.8221;-1;
-36332.5;75.6237;-1;
-36142.2;75.4253;-1;
-35952.3;75.227;-1;
-35762.9;75.0286;-1;
-35574.1;74.8302;-1;
-35385.7;74.6319;-1;
-35197.9;74.4335;-1;
-35010.5;74.2351;-1;
-34823.6;74.0367;-1;
-34637.3;73.8384;-1;
-34451.4;73.64;-1;
-34266;73.4416;-1;
-34081.2;73.2433;-1;
-33896.8;73.0449;-1;
-33713;72.8465;-1;
-33529.6;72.6481;-1;
-33346.7;72.4498;-1;
-33164.4;72.2514;-1;
-32982.5;72.053;-1;
-32801.2;71.8546;-1;
-32620.3;71.6563;-1;
-32439.9;71.4579;-1;
-32260.1;71.2595;-1;
-32080.7;71.0612;-1;
-31901.9;70.8628;-1;
-31723.5;70.6644;-1;
-31545.6;70.466;-1;
-31368.3;70.2677;-1;
-31191.4;70.0693;-1;
-31015;69.8709;-1;
-30839.2;69.6726;-1;
-30663.8;69.4742;-1;
-30489;69.2758;-1;
-30314.6;69.0774;-1;
-30140.7;68.8791;-1;
-29967.4;68.6807;-1;
-29794.5;68.4823;-1;
-29622.2;68.284;-1;
-29450.3;68.0856;-1;
-29278.9;67.8872;-1;
-29108.1;67.6888;-1;
-28937.7;67.4905;-1;
-28767.9;67.2921;-1;
-28598.5;67.0937;-1;
-28429.6;66.8953;-1;
